Our_Filename,Dataset,Split,Original_Filename,GT_File,Ground_Truth_Count,Resolution,Verification_Status
crowd_001.jpg,ShanghaiTech Part A,train,IMG_213.jpg,GT_IMG_213.mat,249,1000x749,VERIFIED
crowd_002.jpg,ShanghaiTech Part A,train,IMG_212.jpg,GT_IMG_212.mat,338,1024x688,VERIFIED
crowd_003.jpg,ShanghaiTech Part A,train,IMG_211.jpg,GT_IMG_211.mat,188,1024x334,VERIFIED
crowd_004.jpg,ShanghaiTech Part A,train,IMG_210.jpg,GT_IMG_210.mat,750,1024x768,VERIFIED
crowd_005.jpg,ShanghaiTech Part A,train,IMG_21.jpg,GT_IMG_21.mat,257,1024x766,VERIFIED
crowd_006.jpg,ShanghaiTech Part A,train,IMG_209.jpg,GT_IMG_209.mat,546,1000x619,VERIFIED
crowd_007.jpg,ShanghaiTech Part A,train,IMG_208.jpg,GT_IMG_208.mat,536,1024x683,VERIFIED
crowd_008.jpg,ShanghaiTech Part A,train,IMG_207.jpg,GT_IMG_207.mat,131,650x442,VERIFIED
crowd_009.jpg,ShanghaiTech Part A,train,IMG_206.jpg,GT_IMG_206.mat,311,1024x683,VERIFIED
crowd_010.jpg,ShanghaiTech Part A,train,IMG_205.jpg,GT_IMG_205.mat,137,1017x798,VERIFIED
crowd_011.jpg,ShanghaiTech Part A,train,IMG_204.jpg,GT_IMG_204.mat,549,1024x695,VERIFIED
crowd_012.jpg,ShanghaiTech Part A,train,IMG_203.jpg,GT_IMG_203.mat,1957,1024x683,VERIFIED
crowd_013.jpg,ShanghaiTech Part A,train,IMG_202.jpg,GT_IMG_202.mat,216,800x530,VERIFIED
crowd_014.jpg,ShanghaiTech Part A,train,IMG_201.jpg,GT_IMG_201.mat,445,800x530,VERIFIED
crowd_015.jpg,ShanghaiTech Part A,train,IMG_200.jpg,GT_IMG_200.mat,100,760x500,VERIFIED
crowd_016.jpg,ShanghaiTech Part A,train,IMG_20.jpg,GT_IMG_20.mat,408,1024x688,VERIFIED
crowd_017.jpg,ShanghaiTech Part A,train,IMG_2.jpg,GT_IMG_2.mat,707,1024x713,VERIFIED
crowd_018.jpg,ShanghaiTech Part A,train,IMG_199.jpg,GT_IMG_199.mat,658,1024x505,VERIFIED
crowd_019.jpg,ShanghaiTech Part A,train,IMG_198.jpg,GT_IMG_198.mat,351,650x415,VERIFIED
crowd_020.jpg,ShanghaiTech Part A,train,IMG_197.jpg,GT_IMG_197.mat,460,800x600,VERIFIED
crowd_021.jpg,ShanghaiTech Part A,train,IMG_196.jpg,GT_IMG_196.mat,580,1024x684,VERIFIED
crowd_022.jpg,ShanghaiTech Part A,train,IMG_195.jpg,GT_IMG_195.mat,243,1024x665,VERIFIED
crowd_023.jpg,ShanghaiTech Part A,train,IMG_194.jpg,GT_IMG_194.mat,296,688x801,VERIFIED
crowd_024.jpg,ShanghaiTech Part A,train,IMG_193.jpg,GT_IMG_193.mat,123,487x506,VERIFIED
crowd_025.jpg,ShanghaiTech Part A,train,IMG_192.jpg,GT_IMG_192.mat,77,480x640,VERIFIED
crowd_026.jpg,ShanghaiTech Part A,train,IMG_191.jpg,GT_IMG_191.mat,393,1024x682,VERIFIED
crowd_027.jpg,ShanghaiTech Part A,train,IMG_190.jpg,GT_IMG_190.mat,270,1024x792,VERIFIED
crowd_028.jpg,ShanghaiTech Part A,train,IMG_19.jpg,GT_IMG_19.mat,707,900x600,VERIFIED
crowd_029.jpg,ShanghaiTech Part A,train,IMG_189.jpg,GT_IMG_189.mat,498,692x280,VERIFIED
crowd_030.jpg,ShanghaiTech Part A,train,IMG_188.jpg,GT_IMG_188.mat,111,1024x649,VERIFIED
crowd_031.jpg,ShanghaiTech Part A,train,IMG_187.jpg,GT_IMG_187.mat,408,1024x387,VERIFIED
crowd_032.jpg,ShanghaiTech Part A,train,IMG_186.jpg,GT_IMG_186.mat,1655,460x653,VERIFIED
crowd_033.jpg,ShanghaiTech Part A,train,IMG_185.jpg,GT_IMG_185.mat,978,583x800,VERIFIED
crowd_034.jpg,ShanghaiTech Part A,train,IMG_184.jpg,GT_IMG_184.mat,1573,1024x617,VERIFIED
crowd_035.jpg,ShanghaiTech Part A,train,IMG_183.jpg,GT_IMG_183.mat,600,1024x687,VERIFIED
crowd_036.jpg,ShanghaiTech Part A,train,IMG_182.jpg,GT_IMG_182.mat,403,1024x680,VERIFIED
crowd_037.jpg,ShanghaiTech Part A,train,IMG_181.jpg,GT_IMG_181.mat,690,1024x639,VERIFIED
crowd_038.jpg,ShanghaiTech Part A,train,IMG_180.jpg,GT_IMG_180.mat,468,509x386,VERIFIED
crowd_039.jpg,ShanghaiTech Part A,train,IMG_18.jpg,GT_IMG_18.mat,280,1024x793,VERIFIED
crowd_040.jpg,ShanghaiTech Part A,train,IMG_179.jpg,GT_IMG_179.mat,341,1024x616,VERIFIED
crowd_041.jpg,ShanghaiTech Part A,train,IMG_178.jpg,GT_IMG_178.mat,1157,1024x688,VERIFIED
crowd_042.jpg,ShanghaiTech Part A,train,IMG_177.jpg,GT_IMG_177.mat,578,1024x768,VERIFIED
crowd_043.jpg,ShanghaiTech Part A,train,IMG_176.jpg,GT_IMG_176.mat,423,594x380,VERIFIED
crowd_044.jpg,ShanghaiTech Part A,train,IMG_175.jpg,GT_IMG_175.mat,175,640x360,VERIFIED
crowd_045.jpg,ShanghaiTech Part A,train,IMG_174.jpg,GT_IMG_174.mat,168,1024x512,VERIFIED
crowd_046.jpg,ShanghaiTech Part A,train,IMG_173.jpg,GT_IMG_173.mat,404,1024x512,VERIFIED
crowd_047.jpg,ShanghaiTech Part A,train,IMG_172.jpg,GT_IMG_172.mat,321,1024x685,VERIFIED
crowd_048.jpg,ShanghaiTech Part A,train,IMG_171.jpg,GT_IMG_171.mat,1411,600x351,VERIFIED
crowd_049.jpg,ShanghaiTech Part A,train,IMG_170.jpg,GT_IMG_170.mat,754,722x480,VERIFIED
crowd_050.jpg,ShanghaiTech Part A,train,IMG_17.jpg,GT_IMG_17.mat,287,600x478,VERIFIED
crowd_051.jpg,ShanghaiTech Part A,train,IMG_169.jpg,GT_IMG_169.mat,269,800x649,VERIFIED
crowd_052.jpg,ShanghaiTech Part A,train,IMG_168.jpg,GT_IMG_168.mat,915,1024x944,VERIFIED
crowd_053.jpg,ShanghaiTech Part A,train,IMG_167.jpg,GT_IMG_167.mat,271,1024x830,VERIFIED
crowd_054.jpg,ShanghaiTech Part A,train,IMG_166.jpg,GT_IMG_166.mat,899,1024x683,VERIFIED
crowd_055.jpg,ShanghaiTech Part A,train,IMG_165.jpg,GT_IMG_165.mat,469,939x274,VERIFIED
crowd_056.jpg,ShanghaiTech Part A,train,IMG_164.jpg,GT_IMG_164.mat,652,650x462,VERIFIED
crowd_057.jpg,ShanghaiTech Part A,train,IMG_163.jpg,GT_IMG_163.mat,456,970x615,VERIFIED
crowd_058.jpg,ShanghaiTech Part A,train,IMG_162.jpg,GT_IMG_162.mat,232,720x480,VERIFIED
crowd_059.jpg,ShanghaiTech Part A,train,IMG_161.jpg,GT_IMG_161.mat,81,640x480,VERIFIED
crowd_060.jpg,ShanghaiTech Part A,train,IMG_160.jpg,GT_IMG_160.mat,225,1024x540,VERIFIED
crowd_061.jpg,ShanghaiTech Part A,train,IMG_16.jpg,GT_IMG_16.mat,161,1024x1024,VERIFIED
crowd_062.jpg,ShanghaiTech Part A,train,IMG_159.jpg,GT_IMG_159.mat,238,400x267,VERIFIED
crowd_063.jpg,ShanghaiTech Part A,train,IMG_158.jpg,GT_IMG_158.mat,321,1024x671,VERIFIED
crowd_064.jpg,ShanghaiTech Part A,train,IMG_157.jpg,GT_IMG_157.mat,33,299x450,VERIFIED
crowd_065.jpg,ShanghaiTech Part A,train,IMG_156.jpg,GT_IMG_156.mat,728,1024x625,VERIFIED
crowd_066.jpg,ShanghaiTech Part A,train,IMG_155.jpg,GT_IMG_155.mat,413,620x409,VERIFIED
crowd_067.jpg,ShanghaiTech Part A,train,IMG_154.jpg,GT_IMG_154.mat,211,624x416,VERIFIED
crowd_068.jpg,ShanghaiTech Part A,train,IMG_153.jpg,GT_IMG_153.mat,706,600x400,VERIFIED
crowd_069.jpg,ShanghaiTech Part A,train,IMG_152.jpg,GT_IMG_152.mat,442,800x600,VERIFIED
crowd_070.jpg,ShanghaiTech Part A,train,IMG_151.jpg,GT_IMG_151.mat,992,716x449,VERIFIED
